"Ad Set Name",Day,"Ad Set ID","Delivery Status","Delivery Level","Relevance Score","Campaign Name","CPM (Cost per 1,000 Impressions)",Reach,Impressions,"CTR (Link Click-Through Rate)","CPC (Cost per Link Click)","Amount Spent (USD)","Result Type","Cost per Result","Landing Page Views","Adds to Cart","Website Adds to Cart","Checkouts Initiated","Website Checkouts Initiated","Adds of Payment Info","Website Adds of Payment Info","Link Clicks","Website Purchases","Website Purchases Conversion Value","Website Purchase ROAS (Return on Ad Spend)","Reporting Starts","Reporting Ends"
"ID_ERLpurchase1%_1112 - feature",2018-11-12,23843039144140116,inactive,adset,,ERL2-shopify-1029-SouthEastAsia-test,0.86239847,12320,12558,1.0272336359293,0.08395349,10.83,"Website Purchases",,72,10,10,8,8,1,1,129,,,,2018-11-12,2018-11-12
"HK_shopping_1111 - aha1110",2018-11-11,23843037601680116,inactive,adset,,ERL2-shopify-test-1019,7.80363636,1289,1375,3.2,0.24386364,10.73,"Website Purchases",,37,8,8,6,6,,,44,,,,2018-11-11,2018-11-11
"EUgood_indie2%_1125 - aha1",2018-11-25,23843059358630116,inactive,adset,,ERL2-shopify-1123-EUbasicopy,12.91666667,801,816,2.5735294117647,0.50190476,10.54,"Website Purchases",,16,1,1,1,1,,,21,,,,2018-11-25,2018-11-25
"US_ERLpurchase1%_1111 - feature - Copy",2018-11-11,23843037514000116,inactive,adset,,ERL2-shopify-1029-Lookalike1%-test,20.32586558,475,491,2.8513238289206,0.71285714,9.98,"Website Purchases",,14,,,,,,,14,,,,2018-11-11,2018-11-11
"EUgood_indie1%_1125 - aha1 -schedule",2018-11-25,23843059358730116,inactive,adset,,ERL2-shopify-1123-EUbasicopy,10.1344364,956,967,3.5160289555326,0.28823529,9.8,"Website Purchases",,25,3,3,2,2,,,34,,,,2018-11-25,2018-11-25
"TW_ERLpurchase1%_1113 - feature",2018-11-13,23843041121040116,inactive,adset,,ERL2-shopify-1029-Lookalike1%-test,3.46236559,2672,2790,3.5125448028674,0.09857143,9.66,"Website Purchases",9.66,88,16,16,13,13,1,1,98,1,49,5.07246377,2018-11-13,2018-11-13
"EU1_indie1%_1024 - aha1110",2018-11-11,23843004831550116,inactive,adset,,ERL2-shopify-test-1019,8.20272572,1136,1174,3.4923339011925,0.23487805,9.63,"Website Purchases",,31,,,,,,,41,,,,2018-11-11,2018-11-11
"ID_ERLpurchase1%_engaged_1128 - feature",2018-11-28,23843063743690116,inactive,adset,,ERL2-shopify-1029-SouthEastAsia-test,2.72031737,3420,3529,1.5868517993766,0.17142857,9.6,"Website Purchases",,33,2,2,1,1,,,56,,,,2018-11-28,2018-11-28
"SG_sportEquip_1201 - ahaold-newpic",2018-12-03,23843067857650116,inactive,adset,,ERL2-shopify-1201-sportEquitTest,6.50727651,1278,1443,2.009702009702,0.3237931,9.39,"Website Purchases",,24,5,5,2,2,,,29,,,,2018-12-03,2018-12-03
"EU1_indie1%_1119 - aha1110",2018-11-21,23843051908480116,inactive,adset,,ERL2-shopify-test-1019,4.52949781,2023,2051,2.6328620185275,0.17203704,9.29,"Website Purchases",,36,4,4,2,2,,,54,,,,2018-11-21,2018-11-21
"EU1_indie1%_1119 - aha1110",2018-11-20,23843051908480116,inactive,adset,,ERL2-shopify-test-1019,3.97319498,2240,2313,2.8534370946822,0.13924242,9.19,"Website Purchases",4.595,50,5,5,3,3,1,1,66,2,98,10.66376496,2018-11-20,2018-11-20
"SG_earlyadopter_1126 - ahaold - newpic",2018-11-26,23843060586660116,inactive,adset,,ERL2-shopify-1125-newTest,11.6395664,693,738,1.6260162601626,0.71583333,8.59,"Website Purchases",,10,1,1,1,1,,,12,,,,2018-11-26,2018-11-26
US_ERLpurchase1%_1126-feature-me,2018-11-27,23843060739420116,inactive,adset,,ERL2-shopify-1026-UStest,27.61744966,289,298,1.6778523489933,1.646,8.23,"Website Purchases",,5,,,,,,,5,,,,2018-11-27,2018-11-27
ID_indiegogo1%_engaged_1128-earpic,2018-11-28,23843063371620116,inactive,adset,,ERL2-shopify-1029-SouthEastAsia-test,2.07601573,3707,3815,1.1795543905636,0.176,7.92,"Website Purchases",,22,1,1,,,,,45,,,,2018-11-28,2018-11-28
"UK_ERLpurchase1%_1112 - feature",2018-11-12,23843039109070116,inactive,adset,,ERL2-shopify-1029-Lookalike1%-test,8.48484848,906,924,1.9480519480519,0.43555556,7.84,"Website Purchases",,16,,,,,,,18,,,,2018-11-12,2018-11-12
EUgood_ERLvisitors30d_1203,2018-12-04,23843070488340116,active,adset,,ERL2-shopify-1129-retarget,12.71986971,507,614,5.5374592833876,0.22970588,7.81,"Website Purchases",7.81,28,2,2,2,2,1,1,34,1,49,6.27400768,2018-12-04,2018-12-04
"TW_ERLpurchase1%_1113 - feature",2018-11-14,23843041121040116,inactive,adset,,ERL2-shopify-1029-Lookalike1%-test,3.82851446,1929,2006,2.9910269192423,0.128,7.68,"Website Purchases",,55,3,3,2,2,,,60,,,,2018-11-14,2018-11-14
