Ad Set Bid Strategy	Ad Set Daily Budget	Ad Set ID	Ad Set Name	Age Max	Age Min	Bid Amount	Countries	Custom Audiences	Gender	Flexible Inclusions	Product 1 - Link	Image	Video File Name
		c:23843066311820116	EUgood_headphone&brands_1130 - aha1	50	18		IT, NL, ES, SE, GB, FI, DK, HU, DE			"[{""interests"":[{""id"":""6002899129710"",""name"":""JBL""},{""id"":""6003140765017"",""name"":""Wireless speakers""},{""id"":""6003280302010"",""name"":""Sennheiser""},{""id"":""6003372673474"",""name"":""Bang & Olufsen""},{""id"":""6003382886804"",""name"":""Bowers & Wilkins""},{""id"":""6003396549623"",""name"":""Bose headphones""},{""id"":""6003448130225"",""name"":""Skullcandy""},{""id"":""6003717851560"",""name"":""Headphones""},{""id"":""6005989447579"",""name"":""Headset (audio)""},{""id"":""6016308695583"",""name"":""Jabra (headset)""}]}]"	https://geterl.com/products/erl2-0-features
Lowest Cost	30	c:23843066298620116	US_ERLpurchase2%_only_1130-aha	50	18		US	23843041213140116:Lookalike (US 2%) - ERL_purchase_1016			https://geterl.com/products/erl2-0-features
Lowest Cost	30	c:23843066298620116	US_ERLpurchase2%_only_1130-aha	50	18		US	23843041213140116:Lookalike (US 2%) - ERL_purchase_1016			https://geterl.com/products/erl2-0-features
Lowest Cost	20	c:23843062694700116	EUgood_indie2%_1127 - aha1 - Copy	50	18		IT, NL, ES, SE, GB, FI, DK, HU, DE	23843059357280116:Lookalike (Europe 2%) - ERLindiegogo1016exact		"[{""interests"":[{""id"":""6003717851560"",""name"":""Headphones""},{""id"":""6005989447579"",""name"":""Headset (audio)""}]}]"	https://geterl.com/products/erl2-0-features
Lowest Cost	30	c:23843063371980116	ID_adopter_engaged_1128-earpic	50	18		ID			"[{""behaviors"":[{""id"":""6003808923172"",""name"":""Technology early adopters""}]},{""behaviors"":[{""id"":""6002764392172"",""name"":""Facebook Payments users (90 days)""},{""id"":""6004948896772"",""name"":""Facebook Payments users (higher than average spend)""},{""id"":""6004948896972"",""name"":""Facebook Payments users (30 days)""},{""id"":""6071631541183"",""name"":""Engaged Shoppers""}]}]"	https://geterl.com/products/erl2-0-features
Lowest Cost	30	c:23843063371980116	ID_adopter_engaged_1128-earpic	50	18		ID			"[{""behaviors"":[{""id"":""6003808923172"",""name"":""Technology early adopters""}]},{""behaviors"":[{""id"":""6002764392172"",""name"":""Facebook Payments users (90 days)""},{""id"":""6004948896772"",""name"":""Facebook Payments users (higher than average spend)""},{""id"":""6004948896972"",""name"":""Facebook Payments users (30 days)""},{""id"":""6071631541183"",""name"":""Engaged Shoppers""}]}]"	https://geterl.com/products/erl2-feature-and-new
Lowest Cost	30	c:23843041171340116	SG_shopping_1113 - ahaold - Copy 3	50	18		SG			"[{""interests"":[{""id"":""6003717851560"",""name"":""Headphones""},{""id"":""6005989447579"",""name"":""Headset (audio)""}]},{""interests"":[{""id"":""6003346592981"",""name"":""Online shopping""}]}]"	https://geterl.com/products/erl2-feature-and-new
Lowest Cost	20	c:23843062694710116	EUgood_indie1%_1127 - aha1 - Copy 21	50	18		IT, NL, ES, SE, GB, FI, DK, HU, DE	23842995418580116:Lookalike (Europe 1%) - ERLindiegogo1016exact		"[{""interests"":[{""id"":""6003717851560"",""name"":""Headphones""},{""id"":""6005989447579"",""name"":""Headset (audio)""}]}]"	https://geterl.com/products/erl2-0-features
Lowest Cost	20	c:23843053055970116	EUgood_indie1%_1120 - aha1110	50	18		IT, NL, ES, SE, GB, FI, DK, HU, DE	23842995418580116:Lookalike (Europe 1%) - ERLindiegogo1016exact		"[{""interests"":[{""id"":""6003717851560"",""name"":""Headphones""},{""id"":""6005989447579"",""name"":""Headset (audio)""}]}]"	https://geterl.com/products/erl2-0-features
Lowest Cost	20	c:23843065440660116	SG_earlyadopter_1129-earpic	50	18		SG			"[{""behaviors"":[{""id"":""6003808923172"",""name"":""Technology early adopters""}]}]"	https://geterl.com/products/erl2-feature-and-new
