"Reporting Starts","Reporting Ends","Ad Set Name","Ad Set ID",Impressions,"CPM (Cost per 1,000 Impressions) (USD)","CTR (Link Click-Through Rate)","CPC (Cost per Link Click) (USD)","Link Clicks","Landing Page Views",Budget,"Budget Type","Amount Spent (USD)","Website Purchases","Cost per Purchase (USD)","Website Purchases Conversion Value","Website Purchase ROAS (Return on Ad Spend)"
2018-04-05,2018-04-05,US_ERLpurchase3%_headindie_0405,23842810703970248,2386,11.17351215,1.8440905280805,0.60590909,44,39,40,Daily,26.66,4,6.665,196,7.35183796
2018-04-05,2018-04-05,"US_Allbackers1%_0331- V",23842809417470248,1180,18.45762712,0.93220338983051,1.98,11,9,30,Daily,21.78,,,,
2018-04-05,2018-04-05,"US_survey5%_0331- V",23842809417590248,1360,11.34558824,1.25,0.90764706,17,17,30,Daily,15.43,,,,
2018-04-05,2018-04-05,"US_ERLpurchase3%_headindie_0402 - Copy 2",23842810704010248,2460,9.42682927,1.7073170731707,0.55214286,42,37,30,Daily,23.19,,,,
2018-04-05,2018-04-05,"US_survey1%_0322-0328-CTA  2 - schedule",23842805487960248,198,9.54545455,0.50505050505051,1.89,1,1,400,Lifetime,1.89,,,,
2018-04-05,2018-04-05,"US_headphone_0321-pink - 0405",23842814707420248,446,12.55605381,2.0179372197309,0.62222222,9,5,30,Daily,5.6,,,,
2018-04-05,2018-04-05,"CA_survey5%_0331- V - 0405",23842814707430248,645,11.47286822,1.0852713178295,1.05714286,7,7,40,Daily,7.4,,,,
2018-04-05,2018-04-05,"US_survey1%_0322-0328-CTA  2 - schedule - Copy",23842814707490248,350,10,1.1428571428571,0.875,4,3,400,Lifetime,3.5,,,,
2018-04-05,2018-04-05,"US_ERLpurchase1%_0403-Headindie-MuMuText - MBINS",23842812453760248,1156,18.5899654,1.038062283737,1.79083333,12,10,30,Daily,21.49,,,,
2018-04-05,2018-04-05,"MY_survey5%_0322-CTA  2",23842800581190248,5054,2.29323308,1.0486743173724,0.21867925,53,43,30,Daily,11.59,1,11.59,49,4.22778257
2018-04-05,2018-04-05,"CA_survey5%_0324-CTA  2 - manual",23842801515020248,4,2.5,,,,,300,Daily,0.01,,,,
2018-04-05,2018-04-05,"US_survey1%_0403-0417-CTA  2 - schedule - MBINS",23842812450730248,106,13.77358491,0.94339622641509,1.46,1,2,400,Lifetime,1.46,,,,
2018-04-05,2018-04-05,"CA_ERLADCT1%_0322-CTA  2",23842797880570248,2481,8.62958484,1.3704151551794,0.62970588,34,28,45,Daily,21.41,1,21.41,49,2.28865016
2018-04-05,2018-04-05,"US_survey3%_0326-CTA  2",23842803292830248,2032,8.49901575,0.98425196850394,0.8635,20,17,30,Daily,17.27,,,,
2018-04-05,2018-04-05,US_survey5%_0323-pink,23842800546670248,3603,6.62781016,1.0269220094366,0.64540541,37,34,45,Daily,23.88,,,,
2018-04-05,2018-04-05,"US_Allbackers2%_0327-Headshop - V",23842804449970248,568,30.03521127,0.70422535211268,4.265,4,5,30,Daily,17.06,,,,
2018-04-05,2018-04-05,US_ERLpurchase3%_headindie_0405,23842814707440248,497,16.35814889,2.0120724346076,0.813,10,9,40,Daily,8.13,,,,
2018-04-05,2018-04-05,US_ERLpurchase1%_0327-Headindie-MuMuText,23842804302610248,1870,18.54545455,0.90909090909091,2.04,17,14,46,Daily,34.68,2,17.34,98,2.82583622
2018-04-05,2018-04-05,US_Allbackers1%_0327-oldpics,23842804220480248,1694,15.63754427,1.4757969303424,1.0596,25,25,50,Daily,26.49,,,,
2018-04-04,2018-04-04,US_ERLADCT1%_0322-pink,23842797813510248,3631,9.98898375,1.1016248967227,0.90675,40,35,36,Daily,36.27,,,,
2018-04-04,2018-04-04,"US_survey1%_0404-0418-CTA  2 - schedule - MBINS",23842812825300248,1793,10.49079755,1.3943112102621,0.7524,25,25,460,Lifetime,18.81,,,,
2018-04-04,2018-04-04,US_ERLpurchase3%_headindie_0405,23842810703970248,2907,10.34743722,1.3415892672859,0.77128205,39,35,40,Daily,30.08,2,15.04,98,3.25797872
2018-04-04,2018-04-04,"US_survey1%_0322-CTA  2",23842797792800248,4189,10.00954882,1.671043208403,0.599,70,66,46,Daily,41.93,1,41.93,49,1.16861436
2018-04-04,2018-04-04,"US_survey5%_0331- V",23842809417590248,1970,15.1928934,1.3197969543147,1.15115385,26,24,30,Daily,29.93,,,,
2018-04-04,2018-04-04,"CA_survey5%_0322-CTA  2",23842797880560248,5628,7.48756219,1.5280739161336,0.49,86,79,46,Daily,42.14,3,14.04666667,196,4.65116279
2018-04-04,2018-04-04,"CA_survey5%_0331- V",23842809417830248,2195,13.74487472,1.1389521640091,1.2068,25,26,40,Daily,30.17,2,15.085,98,3.24825986
2018-04-04,2018-04-04,"US_ERLpurchase3%_headindie_0402 - Copy 2",23842810704010248,3027,10.03633961,1.7178724810043,0.58423077,52,50,30,Daily,30.38,1,30.38,49,1.61290323
2018-04-04,2018-04-04,"CA_survey5%_0324-CTA  2 - manual",23842801515020248,26,3.84615385,3.8461538461538,0.1,1,,300,Daily,0.1,,,,
2018-04-04,2018-04-04,US_ERLpurchase1%_0327-Headindie-MuMuText,23842804302610248,2134,18.94095595,1.4526710402999,1.30387097,31,25,46,Daily,40.42,,,,
2018-04-04,2018-04-04,"US_survey1%_0331- V",23842809417770248,1342,22.75707899,1.4157973174367,1.60736842,19,18,30,Daily,30.54,1,30.54,49,1.60445318
2018-04-04,2018-04-04,"US_ERLpurchase1%_0403-Headindie-MuMuText - MBINS",23842812453760248,2285,13.05032823,2.144420131291,0.60857143,49,50,30,Daily,29.82,1,29.82,49,1.64319249
2018-04-04,2018-04-04,"EU_ERLpurchase1%_0331-Headindie-MuMuText - Copy 2",23842809416980248,3961,7.67230497,1.0350921484474,0.74121951,41,34,30,Daily,30.39,,,,
2018-04-04,2018-04-04,"US_survey1%_0325-CTA  2 - cap",23842801993680248,53,2.64150943,1.8867924528302,0.14,1,1,300,Daily,0.14,1,0.14,49,350
2018-04-04,2018-04-04,US_survey5%_0323-pink,23842800546670248,5370,8.40223464,1.4525139664804,0.57846154,78,68,45,Daily,45.12,,,,
2018-04-04,2018-04-04,"US_survey1%_0322-0328-CTA  2 - schedule",23842805487960248,1,20,,,,,400,Lifetime,0.02,,,,
2018-04-04,2018-04-04,"US_Allbackers1%_0331- V",23842809417470248,1372,22.04081633,1.4577259475219,1.512,20,15,30,Daily,30.24,,,,
2018-04-03,2018-04-03,US_ERLADCT1%_0322-pink,23842797813510248,2833,12.78856336,1.5178256265443,0.84255814,43,37,36,Daily,36.23,,,,
2018-04-03,2018-04-03,"CA_survey5%_0322-CTA  2",23842797880560248,4557,7.75949089,1.3824884792627,0.56126984,63,58,46,Daily,35.36,1,35.36,49,1.38574661
2018-04-03,2018-04-03,"US_Allbackers1%_0331- V",23842809417470248,1716,17.54662005,1.4568764568765,1.2044,25,24,30,Daily,30.11,2,15.055,98,3.25473265
2018-04-03,2018-04-03,"US_survey1%_0322-CTA  2",23842797792800248,3376,10.76718009,1.3329383886256,0.80777778,45,46,46,Daily,36.35,,,,
2018-04-03,2018-04-03,"CA_survey5%_0324-CTA  2 - manual",23842801515020248,37,2.97297297,,,,,300,Daily,0.11,,,,
2018-04-03,2018-04-03,"US_survey5%_0331- V",23842809417590248,2324,13.0292599,1.2048192771084,1.08142857,28,22,30,Daily,30.28,2,15.14,98,3.23645971
2018-04-03,2018-04-03,US_survey5%_0323-pink,23842800546670248,6535,6.91966335,1.2853863810252,0.53833333,84,68,45,Daily,45.22,1,45.22,49,1.08359133
2018-04-03,2018-04-03,"US_ERLpurchase1%_headindie_0402 - Copy",23842810703640248,1855,15.24528302,1.6711590296496,0.91225806,31,32,30,Daily,28.28,,,,
2018-04-03,2018-04-03,"US_survey1%_0322-0328-CTA  2 - schedule",23842805487960248,2851,10.3998597,1.4030164854437,0.74125,40,33,400,Lifetime,29.65,,,,
2018-04-03,2018-04-03,"US_survey1%_0325-CTA  2 - cap",23842801993680248,51,3.33333333,3.921568627451,0.085,2,,300,Daily,0.17,,,,
2018-04-03,2018-04-03,US_ERLpurchase1%_0327-Headindie-MuMuText,23842804302610248,2502,14.70823341,0.71942446043165,2.04444444,18,15,46,Daily,36.8,,,,
2018-04-03,2018-04-03,"US_survey1%_0331- V",23842809417770248,1487,20.62542031,1.2777404169469,1.61421053,19,18,30,Daily,30.67,1,30.67,49,1.59765243
2018-04-03,2018-04-03,"US_survey1%_0324-CTA  2 - manual",23842801515010248,1,10,,,,,300,Daily,0.01,,,,
2018-04-03,2018-04-03,"CA_survey5%_0331- V",23842809417830248,2305,13.3362256,1.2147505422993,1.09785714,28,26,40,Daily,30.74,3,10.24666667,147,4.78204294
