"Reporting Starts","Reporting Ends","Ad Set Name","Ad Set ID",Impressions,"CPM (Cost per 1,000 Impressions) (USD)","CTR (Link Click-Through Rate)","Link Clicks","CPC (Cost per Link Click) (USD)","Landing Page Views",Budget,"Budget Type","Amount Spent (USD)","Website Purchases","Cost per Purchase (USD)","Website Purchase ROAS (Return on Ad Spend)","Website Purchases Conversion Value"
2018-02-27,2018-02-27,"ES_3T_0226_ERLADCT5% - dingshi 2",23842721194050761,1215,8.09053498,0.24691358024691,3,3.27666667,5,400,Lifetime,9.83,,,,
2018-02-27,2018-02-27,AllBackers2%_AUS_0224,23842721365420761,1188,20.63973064,1.2626262626263,15,1.63466667,12,40,Daily,24.52,,,,
2018-02-27,2018-02-27,"DE_3T_0226_ - dingshi",23842721194030761,937,10.10672359,0.85378868729989,8,1.18375,7,400,Lifetime,9.47,,,,
2018-02-27,2018-02-27,"US_3T_0226_ERLADCT5%_ios  2",23842721150350761,1896,15.02109705,1.2658227848101,24,1.18666667,18,40,Daily,28.48,,,,
2018-02-27,2018-02-27,Asia_onlineshopping_0226,23842721352150761,7354,3.82784879,0.80228447103617,59,0.47711864,48,30,Daily,28.15,1,28.15,1.74067496,49
2018-02-27,2018-02-27,"DE_3T_0226_ Copy",23842721157720761,1565,11.47603834,1.0223642172524,16,1.1225,12,40,Daily,17.96,,,,
2018-02-27,2018-02-27,TW_onlineshopping_0226,23842721352340761,9261,3.00291545,1.0582010582011,98,0.28377551,78,30,Daily,27.81,2,13.905,3.52391226,98
2018-02-27,2018-02-27,Latin_onlineshopping_0219,23842722116900761,3770,1.85411141,0.6631299734748,25,0.2796,19,30,Daily,6.99,,,,
2018-02-27,2018-02-27,"DE_3T_0224_ HvsW",23842720460090761,6352,11.1209068,0.83438287153652,53,1.33283019,44,75,Daily,70.64,2,35.32,1.38731597,98
2018-02-27,2018-02-27,"otherEU_3T_0224_ERLADCT5% - HvsW - Copy",23842721953640761,3462,10.12709417,0.92432120161756,32,1.095625,26,75,Daily,35.06,,,,
2018-02-27,2018-02-27,Asia_Allbackers_1231,23842722060070761,2281,4.54625164,0.4384042086804,10,1.037,9,30,Daily,10.37,,,,
2018-02-27,2018-02-27,"otherEU2_3T_0226_ERLADCT5%  2 - dingshi",23842721194120761,2799,3.81564845,0.71454090746695,20,0.534,9,400,Lifetime,10.68,,,,
2018-02-27,2018-02-27,"US_Allbackers_1231  2",23842722060510761,1117,10.34914951,0.80572963294539,9,1.28444444,4,60,Daily,11.56,,,,
2018-02-27,2018-02-27,Surveryemail_PH_0226-dingshi,23842721240230761,10102,1.76895664,0.66323500296971,67,0.26671642,43,350,Lifetime,17.87,,,,
2018-02-27,2018-02-27,US_ERLPurchase_0101_006,23842722059680761,613,19.05383361,1.141924959217,7,1.66857143,5,60,Daily,11.68,,,,
2018-02-27,2018-02-27,"Surveryemail_PH_0226-dingshi - asia2%",23842721240270761,11665,1.56108015,0.57436776682383,67,0.27179104,31,350,Lifetime,18.21,,,,
2018-02-27,2018-02-27,Surveyemail_UK_0226-WW1%,23842722116890761,754,14.8806366,0.79575596816976,6,1.87,5,40,Daily,11.22,,,,
2018-02-27,2018-02-27,"otherEU2_3T_0225_ERLADCT5% - HvsW - Copy",23842720708060761,22022,3.4279357,0.72200526745981,159,0.47477987,120,75,Daily,75.49,2,37.745,1.29818519,98
2018-02-27,2018-02-27,EU_ERLPurchase_0101_006,23842722060190761,985,10.53807107,1.1167512690355,11,0.94363636,10,30,Daily,10.38,,,,
2018-02-27,2018-02-27,"US_3T_0224_LocalBackers1-2% - HvsW",23842720396080761,4362,17.09766162,1.0316368638239,45,1.65733333,40,75,Daily,74.58,2,37.29,1.31402521,98
2018-02-27,2018-02-27,"EU_ERLLAL_1231 _xin",23842722060300761,2372,8.74789207,0.4637436762226,11,1.88636364,11,60,Daily,20.75,,,,
2018-02-27,2018-02-27,"TW_onlineshopping_0226 - Copy",23842722085050761,3473,4.81140225,1.353296861503,47,0.35553191,35,50,Daily,16.71,1,16.71,2.93237582,49
2018-02-27,2018-02-27,OtherEU_ERLLAL_12231_xin,23842722059980761,1057,9.99053926,0.85146641438032,9,1.17333333,8,30,Daily,10.56,,,,
2018-02-27,2018-02-27,"US_3T_0226_ERLADCT5% - dingshi 2",23842721193070761,1636,14.95721271,0.91687041564792,15,1.63133333,12,400,Lifetime,24.47,,,,
2018-02-27,2018-02-27,EU_ADDCARTLAL_1221,23842722060480761,789,10.62103929,0.8871989860583,7,1.19714286,3,30,Daily,8.38,,,,
